 ceap_07010101             SWAT+ Mar 4 2024        MODULAR Rev 2024.61.0                                  
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
   365    12    31  2018       1       1  m_2_1                0.1911E+00     0.1747E-01     0.1911E+00     0.1911E+00     0.1634E+03     0.2068E+03     0.0000E+00     0.0000E+00     0.6356E+01     0.1035E+01     0.4977E+02     0.0000E+00     0.7722E+01     0.1276E+01     0.2169E-03     0.3915E-02     0.7291E-01     0.0000E+00     0.7868E+02     0.7192E+01     0.7865E+02     0.2484E+00     0.1792E+02     0.3342E+01     0.1266E+01     0.2808E+02
   365    12    31  2018       2       1  m_1_2                0.3857E-01     0.1300E-01     0.3853E-01     0.3857E-01     0.5542E+02     0.5542E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.4018E+02     0.0000E+00     0.0000E+00     0.5543E+01     0.2586E+01     0.2385E-02     0.8618E-01     0.0000E+00     0.0000E+00     0.4984E+02     0.1681E+02     0.4980E+02     0.1093E+00     0.4405E+01     0.1065E+01     0.1710E+01     0.1201E+03
   365    12    31  2018       3       1  m_2_3                0.3152E+00     0.2267E-01     0.3152E+00     0.3152E+00     0.2202E+03     0.2491E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.1275E+02     0.2887E+02     0.0000E+00     0.7705E+01     0.3273E+01     0.1053E-02     0.1110E+00     0.1016E+00     0.0000E+00     0.1205E+03     0.8665E+01     0.1204E+03     0.7533E-01     0.2571E+02     0.3600E+01     0.2348E+01     0.1858E+03
   365    12    31  2018       4       1  t_1_4                0.6422E-01     0.2670E-01     0.6418E-01     0.6422E-01     0.6217E+02     0.6217E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.8157E+01     0.0000E+00     0.0000E+00     0.5876E+01     0.1804E+01     0.1645E-02     0.1842E-01     0.0000E+00     0.0000E+00     0.7398E+02     0.3075E+02     0.7393E+02     0.1356E+00     0.6328E+01     0.1194E+01     0.1695E+01     0.9837E+02
   365    12    31  2018       5       1  m_2_5                0.5918E+00     0.2720E+00     0.5917E+00     0.5918E+00     0.2591E+03     0.4125E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.1740E+02     0.1534E+03     0.0000E+00     0.7759E+01     0.1924E+01     0.9021E-03     0.4047E-01     0.1374E+00     0.0000E+00     0.2147E+03     0.9870E+02     0.2147E+03     0.2460E+00     0.4349E+02     0.3791E+01     0.1695E+01     0.9545E+02
   365    12    31  2018       6       1  t_1_6                0.1143E-01     0.8854E-02     0.1142E-01     0.1652E-01     0.5584E+01     0.5584E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.8550E-01     0.0000E+00     0.0000E+00     0.5127E+01     0.1059E+01     0.2262E-02     0.7339E-03     0.0000E+00     0.0000E+00     0.1466E+03     0.1136E+03     0.1465E+03     0.4531E-02     0.9018E+00     0.1073E+00     0.1057E+01     0.4487E+02
   365    12    31  2018       7       1  t_1_7                0.2540E-01     0.8554E-02     0.2540E-01     0.2848E-01     0.7858E+01     0.7858E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.1972E-01     0.0000E+00     0.0000E+00     0.5169E+01     0.9154E+00     0.1727E-02     0.3799E-03     0.0000E+00     0.0000E+00     0.2315E+03     0.7796E+02     0.2315E+03     0.2999E-02     0.1826E+01     0.1511E+00     0.9144E+00     0.3087E+02
   365    12    31  2018       8       1  t_1_8                0.1422E-01     0.1323E-01     0.1422E-01     0.3649E-01     0.2154E+01     0.2154E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.3484E+00     0.0000E+00     0.0000E+00     0.4884E+01     0.1222E+01     0.2031E-02     0.2121E-01     0.0000E+00     0.0000E+00     0.4728E+03     0.4397E+03     0.4727E+03     0.2994E-03     0.9398E+00     0.4142E-01     0.1082E+01     0.4257E+02
   365    12    31  2018       9       1  t_1_9                0.9619E-01     0.9527E-01     0.9618E-01     0.2558E+00     0.1999E+01     0.1999E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.1169E+04     0.0000E+00     0.0000E+00     0.3829E+01     0.2036E+03     0.6233E-02     0.1067E+02     0.0000E+00     0.0000E+00     0.3446E+04     0.3413E+04     0.3446E+04     0.8773E-03     0.5444E+01     0.3840E-01     0.9863E+02     0.2536E+07
