 proj_chillon              SWAT+ Apr 18 2024        MODULAR Rev 2024.61.0                                 
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    86     3    26  2020       1       1  hru01               3547.230     776.830     757.448     126.105    3242.238    3368.343    3274.023     127.713       0.000       0.000       0.000       0.000      61.936       0.000       0.000       1.779       0.006       0.000       0.000     124.774    1142.976       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    86     3    26  2020       2       2  hru02               3547.230     776.830     757.448       0.001    3445.285    3445.285    3478.719      49.127       0.000       0.000       0.000       0.000      25.104       0.000       0.000       0.221       0.001       0.000       0.000     124.774    1142.976       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    86     3    26  2020       3       3  hru03               3547.230     776.830     757.448      15.688    3430.013    3445.701    3463.293      48.866       0.000       0.000       0.000       0.000      47.840       0.000       0.000       0.220       0.001       0.000       0.000     124.774    1142.976       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    86     3    26  2020       4       4  hru04               3547.230     776.830     757.448       0.001    3445.285    3445.285    3478.719      49.127       0.000       0.000       0.000       0.000      25.104       0.000       0.000       0.221       0.001       0.000       0.000     124.774    1142.976       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    86     3    26  2020       5       5  hru05               3547.230     776.830     757.448      15.688    3430.013    3445.701    3463.293      48.866       0.000       0.000       0.000       0.000      47.840       0.000       0.000       0.220       0.001       0.000       0.000     124.774    1142.976       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    86     3    26  2020       6       6  hru06               3547.230     776.830     757.448      15.688    3430.013    3445.701    3463.293      48.866       0.000       0.000       0.000       0.000      47.840       0.000       0.000       0.220       0.001       0.000       0.000     124.774    1142.976       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    86     3    26  2020       7       7  hru07               3547.230     776.830     757.448       0.001    3445.285    3445.285    3478.719      49.127       0.000       0.000       0.000       0.000      25.104       0.000       0.000       0.221       0.001       0.000       0.000     124.774    1142.976       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    86     3    26  2020       8       8  hru08               3547.230     776.830     757.448      15.688    3430.013    3445.701    3463.293      48.866       0.000       0.000       0.000       0.000      47.840       0.000       0.000       0.220       0.001       0.000       0.000     124.774    1142.976       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    86     3    26  2020       9       9  hru09               3547.230     776.830     757.448     126.105    3242.238    3368.343    3274.022     127.713       0.000       0.000       0.000       0.000      61.936       0.000       0.000       1.779       0.006       0.000       0.000     124.774    1142.976       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
